1,"What is the meaning of life?"
2,"What is a skill you wish your partner would teach you?"
3,"What's your ideal setting for a deep, uninterrupted conversation?"
4,"What fictional couple do you think has the healthiest relationship and why?"
5,"What is one thing you’ve learned about yourself from a past relationship?"
1,"What is the meaning of life?"
2,"What is a skill you wish your partner would teach you?"
3,"What's your ideal setting for a deep, uninterrupted conversation?"
4,"What fictional couple do you think has the healthiest relationship and why?"
5,"What is one thing you've learned about yourself from a past relationship?"
6,"If we had a "couple's theme song," what would it be?"
7,"What does emotional safety mean to you in a relationship?"
8,"Describe a perfect lazy Sunday morning together."
9,"What kind of legacy do you hope to build as a couple?"
10,"What quality in a person makes you immediately feel comfortable?"
11,"What is your most cherished memory of a date or special occasion?"
12,"How do you prefer to handle stress or disappointment when you are around others?"
13,"What is the sweetest non-monetary gift you have ever given or received?"
14,"What is one thing that you know you can always count on me for?"
15,"What is a small gesture of affection that means more than a grand one?"
16,"If suffering is necessary for growth, is true happiness detrimental to the soul?"
17,"Is an absolute truth knowable, or is all understanding subjective?"
18,"Does the pursuit of meaning inherently imply that life has no inherent meaning?"
19,"If you could remove one human emotion entirely, which would it be and why?"
20,"Is free will truly possible if every action is a result of prior causes and genetic code?"
21,"What is the difference between wisdom and intelligence?"
22,"If you had to define 'goodness' in a single sentence, what would it be?"
23,"Is the goal of technological progress to free us from labor, and if so, what do we do with that freedom?"
24,"What is the most important lesson you've learned from a book, movie, or piece of art?"
25,"Do humans create value, or do we simply discover the value that already exists?"
26,"Is it more important to be respected or to be liked?"
27,"What current societal norm do you find the most irrational?"
28,"You can save 100 strangers or one person you love. Which do you choose, and does your decision haunt you?"
29,"Would you rather live a long comfortable life or a short life with incredible highs and dangerous lows?"
30,"A genius develops a pill that cures sadness but removes joy. Would you take it?"
31,"Would you rather be able to speak every human language or speak perfectly with every animal?"
32,"You have the power to stop all war, but all music disappears forever. Do you accept the trade?"
33,"Would you rather know when you are going to die or how you are going to die?"
34,"You must commit one petty crime monthly to keep your house dry. What's the most harmless one?"
35,"Would you rather wear the same outfit every day or eat the same meal every day?"
36,"Would you rather have to whisper everything or shout everything?"
37,"You must give up your favorite hobby or your favorite food forever. Which one is easier to sacrifice?"
